model,accuracy,macro_precision,macro_recall,macro_f1,n_test
efficientnetb0,0.903694730466384,0.899526579537208,0.9091048551359195,0.9022919822794916,1651
mobilenetv2,0.8800726832222895,0.8745591907560987,0.8888982221512632,0.8792657239620801,1651
baseline_cnn,0.4742580254391278,0.4955193866926721,0.48139654418864225,0.4594747772726185,1651
