class,precision,recall,f1,support
biological,0.5815602836879432,0.5189873417721519,0.5484949832775919,158
cardboard,0.565068493150685,0.6903765690376569,0.6214689265536724,239
glass,0.7877094972067039,0.35516372795969775,0.4895833333333333,397
metal,0.3644859813084112,0.23780487804878048,0.2878228782287823,164
paper,0.4157303370786517,0.6902985074626866,0.5189340813464236,268
plastic,0.4748603351955307,0.31135531135531136,0.37610619469026546,273
trash,0.2792207792207792,0.5657894736842105,0.3739130434782609,152
