class,precision,recall,f1,support
biological,0.9748427672955975,0.9810126582278481,0.9779179810725552,158
cardboard,0.9375,0.9414225941422594,0.9394572025052192,239
glass,0.9665738161559888,0.8740554156171285,0.917989417989418,397
metal,0.7463414634146341,0.9329268292682927,0.8292682926829268,164
paper,0.9411764705882353,0.8955223880597015,0.9177820267686424,268
plastic,0.8466898954703833,0.8901098901098901,0.8678571428571429,273
trash,0.8835616438356164,0.8486842105263158,0.8657718120805369,152
