class,precision,recall,f1,support
biological,0.950920245398773,0.9810126582278481,0.9657320872274143,158
cardboard,0.888,0.9288702928870293,0.9079754601226994,239
glass,0.9371584699453552,0.8639798488664987,0.8990825688073395,397
metal,0.729064039408867,0.9024390243902439,0.8065395095367848,164
paper,0.9696969696969697,0.835820895522388,0.8977955911823647,268
plastic,0.8260869565217391,0.8351648351648352,0.8306010928961749,273
trash,0.8209876543209876,0.875,0.8471337579617835,152
